year,month,fuel,value,prop,cap,default_usage,default_cost,ref_month
2022,10,electricity,0.8701119754539934,0.08345292049511911,0.6280645161290322,258.7040535348693,162.48283620399692,2022-10-01
2022,11,electricity,0.9255646206715322,0.08877141434778532,0.6280645161290322,275.1913844781345,172.83794373513803,2022-11-01
2022,12,electricity,0.9732490133449908,0.09334485080527101,0.6280645161290322,289.3690374963401,181.74242451786264,2022-12-01
2023,1,electricity,1,0.09591055272119012,0.8462803225806452,297.32271343568937,251.61836183690795,2023-01-01
2023,2,electricity,0.9006735841242899,0.08638410127473596,0.8462803225806452,267.7907139516815,226.6260117871303,2023-02-01
2023,3,electricity,0.9519395058277389,0.09130104416107501,0.8462803225806452,283.03323689933256,239.52545902421133,2023-03-01
2023,4,electricity,0.8343538262951403,0.08002333664500676,1.039352258064516,248.07234359952093,257.83455048351857,2023-04-01
2023,5,electricity,0.8125695436892796,0.07793399405964405,1.039352258064516,241.59538158489653,251.1027053882206,2023-05-01
2023,6,electricity,0.772228932782113,0.07406490377042722,1.039352258064516,229.60120168832438,238.63652742908633,2023-06-01
2023,7,electricity,0.7966220435017854,0.0764044605021402,0.9263996774193548,236.85382755663463,219.4213094440058,2023-07-01
2023,8,electricity,0.7902653007117545,0.07579478178764189,0.9263996774193548,234.96382354168986,217.6704103342397,2023-08-01
2023,9,electricity,0.7988030227776676,0.07661363942996352,0.9263996774193548,237.50228223288693,220.02203764690702,2023-09-01
2022,10,gas,0.6129587785413976,0.07795563493920979,0.16491666666666666,935.4676192705175,154.27420154469615,2022-10-01
2022,11,gas,0.7982354974796307,0.10151898825091706,0.16491666666666666,1218.2278590110047,200.90607774856485,2022-11-01
2022,12,gas,0.9049582240645374,0.11509190408902213,0.16491666666666666,1381.1028490682656,227.7668781921748,2022-12-01
2023,1,gas,1,0.1271792454375378,0.23029425,1526.1509452504538,351.46378732324433,2023-01-01
2023,2,gas,0.8845241802773768,0.11249311781893344,0.23029425,1349.9174138272012,310.8782183792749,2023-02-01
2023,3,gas,0.8449795661229282,0.1074638636296521,0.23029425,1289.5663635558253,296.9797185203161,2023-03-01
2023,4,gas,0.6419557842825936,0.08164345224932305,0.28283400000000003,979.7214269918767,277.09853008182046,2023-04-01
2023,5,gas,0.5276781257634388,0.06710970586848831,0.28283400000000003,805.3164704218598,227.77087859529632,2023-05-01
2023,6,gas,0.4227853183741673,0.053769517772895785,0.28283400000000003,645.2342132747494,182.4941734773505,2023-06-01
2023,7,gas,0.3999660368384329,0.05086737876575435,0.25209675,610.4085451890521,153.88201041438816,2023-07-01
2023,8,gas,0.38843764213880927,0.0494012062267501,0.25209675,592.8144747210013,149.44660243012157,2023-08-01
2023,9,gas,0.4364390177073113,0.055505984951516055,0.25209675,666.0718194181926,167.91454094191323,2023-09-01
